5.57.230.0/25,2756253,2750405,,0,0,5641,51.4487,5.5158,100
5.57.231.0/24,2756253,2750405,,0,0,5611,51.4366,5.4801,50
5.132.51.0/25,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.51.128/32,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.51.130/31,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.51.132/30,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.51.140/30,2756253,2750405,,0,0,5612,51.4509,5.4758,100
5.132.51.144/29,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.51.160/27,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.51.192/26,2756253,2750405,,0,0,5611,51.4366,5.4801,100
5.132.82.8/30,2756253,2750405,,0,0,5612,51.4509,5.4758,5
5.132.82.16/28,2756253,2750405,,0,0,5658,51.4405,5.4098,5
5.132.82.56/29,2756253,2750405,,0,0,5623,51.4600,5.4909,5
5.132.82.72/29,2756253,2750405,,0,0,5626,51.4805,5.4345,5
5.132.82.80/28,2756253,2750405,,0,0,5643,51.4255,5.5064,5
5.132.82.96/28,2756253,2750405,,0,0,5612,51.4509,5.4758,5
5.132.82.116/30,2756253,2750405,,0,0,5627,51.4864,5.4438,5
5.132.82.120/29,2756253,2750405,,0,0,5611,51.4366,5.4801,5
5.132.82.128/28,2756253,2750405,,0,0,5658,51.4405,5.4098,5
5.132.82.152/30,2756253,2750405,,0,0,5623,51.4600,5.4909,5
5.132.82.184/29,2756253,2750405,,0,0,5622,51.4593,5.4644,5
5.132.82.192/26,2756253,2750405,,0,0,5628,51.4802,5.4711,5
5.132.83.24/29,2756253,2750405,,0,0,5629,51.4884,5.4734,1
5.132.83.32/29,2756253,2750405,,0,0,5614,51.4302,5.4989,10
5.132.83.44/30,2756253,2750405,,0,0,5622,51.4593,5.4644,1
5.132.83.48/28,2756253,2750405,,0,0,5622,51.4593,5.4644,20
5.132.83.64/30,2756253,2750405,,0,0,5627,51.4864,5.4438,50
5.132.83.72/29,2756253,2750405,,0,0,5645,51.4255,5.5064,5
5.132.83.128/30,2756253,2750405,,0,0,5621,51.4549,5.4625,1000
5.132.83.132/30,2756253,2750405,,0,0,5628,51.4802,5.4711,5
5.132.83.168/29,2756253,2750405,,0,0,5632,51.4767,5.4956,1
5.132.83.176/28,2756253,2750405,,0,0,5614,51.4302,5.4989,10
5.132.83.192/27,2756253,2750405,,0,0,5611,51.4366,5.4801,1
5.132.83.240/28,2756253,2750405,,0,0,5621,51.4549,5.4625,50
5.132.84.0/27,2756253,2750405,,0,0,5628,51.4802,5.4711,20
5.132.84.32/29,2756253,2750405,,0,0,5623,51.4600,5.4909,20
5.132.84.68/30,2756253,2750405,,0,0,5642,51.4366,5.5102,20
5.132.84.72/29,2756253,2750405,,0,0,5614,51.4302,5.4989,20
5.132.84.80/28,2756253,2750405,,0,0,5623,51.4600,5.4909,20
5.132.84.160/28,2756253,2750405,,0,0,5641,51.4487,5.5158,20
5.132.84.192/26,2756253,2750405,,0,0,5628,51.4802,5.4711,20
5.132.85.0/25,2756253,2750405,,0,0,5643,51.4255,5.5064,10
5.132.85.144/29,2756253,2750405,,0,0,5623,51.4600,5.4909,20
5.132.85.152/30,2756253,2750405,,0,0,5628,51.4802,5.4711,50
5.132.85.156/30,2756253,2750405,,0,0,5658,51.4405,5.4098,5
5.132.85.160/27,2756253,2750405,,0,0,5623,51.4600,5.4909,10
5.132.85.192/26,2756253,2750405,,0,0,5625,51.4742,5.4833,10
5.132.112.0/27,2756253,2750405,,0,0,5611,51.4366,5.4801,10
5.132.112.64/28,2756253,2750405,,0,0,5643,51.4255,5.5064,10
5.132.112.88/29,2756253,2750405,,0,0,5658,51.4405,5.4098,10
5.132.112.128/26,2756253,2750405,,0,0,5613,51.4361,5.4958,10
5.132.112.192/27,2756253,2750405,,0,0,5613,51.4361,5.4958,10
